_id,PROVINCIE,BEVOEGD GEZAG NUMMER,BRIN NUMMER,VESTIGINGSNUMMER,VESTIGINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM
1,Drenthe,10249,16AH,16AH00,Openbare Basisschool 't Eenspan,Oosterstraat,58,7822HG,EMMEN,114,EMMEN,Openbaar,591659840,www.obs-eenspan.nl,Oosterstraat,58,7822HG,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
2,Drenthe,10249,16BX,16BX00,Openbare Basisschool 2 Emmen Mr Vegter,Bargermeerweg,113,7811LD,EMMEN,114,EMMEN,Openbaar,591659842,www.obs-mr-vegter.nl,Bargermeerweg,113,7811LD,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
3,Drenthe,10249,16DJ,16DJ00,Openbare Basisschool De Esdoorn,Buiskoolstraat,1,7814RC,EMMEN,114,EMMEN,Openbaar,591659848,www.obs-esdoorn.nl,Buiskoolstraat,1,7814RC,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
4,Drenthe,10249,16HI,16HI00,Openbare Basisschool Emmermeer,Middenhaag,4,7815LB,EMMEN,114,EMMEN,Openbaar,591659896,www.obs-emmermeer.nl,Middenhaag,4,7815LB,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
5,Drenthe,10249,16MA,16MA00,Openbare Basisschool Angelslo,Smedingeslag,1,7824HK,EMMEN,114,EMMEN,Openbaar,591625269,www.obs-angelslo.nl,Smedingeslag,1,7824HK,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
6,Drenthe,10249,16NR,16NR00,De Kubus,Houtweg,403,7823PS,EMMEN,114,EMMEN,Openbaar,591622100,www.obs-kubus.nl,Houtweg,403,7823PS,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
7,Drenthe,10249,16WN,16WN00,Openbare Basisschool op 't Veld,Barnar,5-A,7826EP,EMMEN,114,EMMEN,Openbaar,591629364,www.obs-optveld.nl,Barnar,5-A,7826EP,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
8,Drenthe,10249,16XQ,16XQ00,Openbare Basisschool De Brink,Rolderbrink,128-130,7812PK,EMMEN,114,EMMEN,Openbaar,591659850,www.obs-brink.nl,Rolderbrink,128-130,7812PK,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
9,Drenthe,10249,16YK,16YK00,Openbare Basisschool De Barg,Mantingerbrink,203,7812MD,EMMEN,114,EMMEN,Openbaar,591659854,www.obs-barg.nl,Mantingerbrink,203,7812MD,EMMEN,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
10,Drenthe,10249,16ZQ,16ZQ00,Openbare Basisschool De Meent,Eerste Koppelveenweg,2,7881EG,EMMER-COMPASCUUM,114,EMMEN,Openbaar,591351660,www.obs-meent.nl,Eerste Koppelveenweg,2,7881EG,EMMER-COMPASCUUM,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
11,Drenthe,10249,17AE,17AE00,De Bente Openbare Basisschool,Westerdiep OZ,96,7881HG,EMMER-COMPASCUUM,114,EMMEN,Openbaar,591353320,"",Westerdiep OZ,96,7881HG,EMMER-COMPASCUUM,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
12,Drenthe,10249,17BC,17BC00,Openbare Basisschool De Runde,Runde ZZ,84,7881HP,EMMER-COMPASCUUM,114,EMMEN,Openbaar,591351446,www.obs-runde.nl,Runde ZZ,84,7881HP,EMMER-COMPASCUUM,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
13,Drenthe,10249,17BL,17BL00,Openbare Basisschool De Dreef,Kanaal A NZ,102,7881KL,EMMER-COMPASCUUM,114,EMMEN,Openbaar,591352653,www.obs-dreef.nl,Kanaal A NZ,102,7881KL,EMMER-COMPASCUUM,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
14,Drenthe,10249,17BU,17BU00,Openbare Basisschool Erica De Anbrenge,Semsstraat,2,7887AD,ERICA,114,EMMEN,Openbaar,591301824,www.obs-anbrenge.nl,Semsstraat,2,7887AD,ERICA,12,Emmen,5,Zuid- en Midden-Drenthe,8,Zuidoost-Drenthe,8,Zuidoost-Drenthe,4,Assen-Hoogeveen-Emmen,8,Zuid-Oost Drenthe
