"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","AGE","Age","SUBJECT","Subject","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,1000,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,7000,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,705,,
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,2820,,
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"BFL","Flemish Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,816.66667,,
"BFL","Flemish Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"z","Not applicable"
"BFL","Flemish Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,816.66667,,
"BFL","Flemish Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,4900,,
"BFL","Flemish Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"z","Not applicable"
"BFL","Flemish Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,4900,,
"BFR","French Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,835.33333,,
"BFR","French Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"z","Not applicable"
"BFR","French Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,835.33333,,
"BFR","French Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,5012,,
"BFR","French Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"z","Not applicable"
"BFR","French Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,5012,,
"CAN","Canada","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,920.12601,,
"CAN","Canada","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"z","Not applicable"
"CAN","Canada","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,920.12601,,
"CAN","Canada","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,5520.75606,,
"CAN","Canada","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"z","Not applicable"
"CAN","Canada","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,5520.75606,,
"CHL","Chile","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,1046,,
"CHL","Chile","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"z","Not applicable"
"CHL","Chile","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,1046,,
"CHL","Chile","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,6276,,
"CHL","Chile","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"z","Not applicable"
"CHL","Chile","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,6276,,
"CZE","Czech Republic","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,686.76,,
"CZE","Czech Republic","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"CZE","Czech Republic","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"CZE","Czech Republic","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,3433.8,,
"CZE","Czech Republic","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","NCO_T","Non-compulsory instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"CZE","Czech Republic","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","INT_T","Intended instruction time (total)","HR_LEVEL","Total number of hours of instruction time (in compulsory general education)",,,"0","Units",,,,"m","Missing data"
"DNK","Denmark","2017","2017","L1","Primary education (ISCED2011 level 1)","T","Total: All age groups","COM_T","Compulsory instruction time (total)","HR_YR","Average hours per year of instruction time (in compulsory general education)",,,"0","Units",,,1051.42857,,
