_id,Bevoegd Gezag,Sector,Groepering,Naam,Jaar,Lonen,Sociale lasten,Premies Participatiefonds,Premies Vervangingsfonds,Pensioenlasten,Lonen salarissen sociale lasten en pensioenlasten,Dotaties personele voorzieningen,Lasten personeel niet in loondienst,Overige overige personele lasten,Overige personele lasten,Vergoedingen uit het Participatiefonds,Vergoedingen uit het Vervangingsfonds,Overige uitkeringen die personeelslasten verminderen,Uitkeringen die personeelslasten verminderen,Personeelslasten,Afschrijvingen op immateriele vaste activa,Afschrijvingen op materiele vaste activa,Afschrijvingen,Huurlasten,Verzekeringslasten,Onderhoudslasten klein onderhoud,Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Dotatie onderhoudsvoorziening,Overige overige huisvestingslasten,Huisvestingslasten,Administratie en beheerslasten,Inventaris en apparatuur,Leer en hulpmiddelen,Dotatie overige voorzieningen,Overige overige overige lasten,Overige lasten,Verstrekte subsidies,Gerealiseerde herwaardering,Verplichte afdrachten uit te voeren door OCW voor vso,Verplichte afdrachten uit te voeren door OCW voor Lwoo,Verplichte afdrachten uit te voeren door OCW voor pro,Verplichte afdrachten uit te voeren door OCW,Doorbetaling op basis van 1 februari vso,Doorbetaling op basis van 1 februari sbo,Doorbetaling op basis van 1 februari,Overige doorbetalingen van rijksbijdragen aan schoolbesturen,Doorbetalingen aan schoolbesturen,Accountantshonoraria voor het onderzoek van de jaarrekening,Accountantshonoraria voor andere controleopdrachten,Accountantshonoraria voor adviesdiensten op fiscaal terrein,Accountantshonoraria voor andere nietcontrolediensten,Accountantshonoraria
1,8,WO,UNIV,Rijksuniversiteit Groningen,2014,287243300,30741300,,,42378300,360362900,2721600,18381000,3373700,24476300,,,,-3924100,388763300,,33756500,33756500,2762700,555600,17908200,8094800,5375500,3369500,,596400,38662700,7391200,18489300,,1475700,114694200,142050400,,,,,,,,,,,,86400,112900,,6200,205500
2,8,WO,UNIV,Rijksuniversiteit Groningen,2015,302948600,32043000,,,37913300,372904900,6804900,18344700,13952000,39101600,,,,-4099300,416105800,,34778500,34778500,3327800,557400,17975000,7914900,5300000,1509000,,2236200,38820300,4933800,18432000,,4646500,110827600,138839900,,,,,,,,,,,,127700,186000,,4500,318200
3,8,WO,UNIV,Rijksuniversiteit Groningen,2016,325316800,35769100,,,38552500,399638400,6724800,12965800,16153600,35844200,,,,-4242900,439725500,,32897800,32897800,3736200,557500,12865300,7498100,4980400,3029600,,7553000,40220100,6263600,13003400,,10978600,101742300,131987900,,,,,,,,,,,,116900,187500,,7100,311500
4,8,WO,UNIV,Rijksuniversiteit Groningen,2017,334180700,35300500,,,45891900,415373100,4751500,14521700,7173400,26446600,,,,,441819700,,35237100,35237100,3521300,577100,16883900,8480000,5830200,3149500,,1757100,40199100,6967100,16984200,,6939000,104474500,135364800,,,,,,,,,,,,362100,54500,,20900,437500
5,8,WO,UNIV,Rijksuniversiteit Groningen,2018,353310500,39008000,,,49729900,442048400,3240200,5663800,7620300,16524300,,,,1141100,457431600,,36247800,36247800,5333300,521500,15169700,9120900,6680600,3419000,,1121300,41366300,1578000,19675100,,12617300,102655800,136526200,,,,,,,,,,,,382800,86800,,31800,501400
6,9,WO,UNIV,Universiteit Utrecht,2014,351798000,38176000,,,47960000,437934000,7582000,12635000,3236000,23453000,,,,2307000,459080000,2543000,52669000,55212000,26200000,879000,4584000,13817000,10373000,3541000,10261000,15747000,85402000,16360000,26659000,,,113041000,156060000,,,,,,,,,,,,325000,249000,127000,,701000
7,9,WO,UNIV,Universiteit Utrecht,2015,377295000,38825000,,,45590000,461710000,1080000,11845000,7626000,20551000,,,,2189000,480072000,3077000,53534000,56611000,21566000,939000,7302000,14665000,10584000,2208000,473000,18130000,75867000,21573000,29210000,,,112880000,163663000,,,,,,,,,,,,498000,310000,,,808000
8,9,WO,UNIV,Universiteit Utrecht,2016,389212000,41683000,,,46570000,477465000,4912000,15374000,5639000,25925000,,,,2008000,501382000,3761000,58864000,62625000,21921000,936000,7332000,14331000,10623000,3721000,789000,19323000,78976000,23944000,25251000,,,104979000,154174000,,,,,,,,,,,,321000,412000,,,733000
9,9,WO,UNIV,Universiteit Utrecht,2017,419050000,45272000,,,53421000,517743000,10347000,15004000,8116000,33467000,,,,2075000,549135000,5113000,60887000,66000000,9081000,920000,8051000,12941000,9441000,3880000,1309000,16605000,62228000,22396000,22304000,,,105872000,150572000,,,,,,,,,,,,354000,273000,,30000,657000
10,9,WO,UNIV,Universiteit Utrecht,2018,430988000,48069000,,,57617000,536674000,9627000,15512000,7181000,32320000,,,,2312000,566682000,4812000,60717000,65529000,10849000,1042000,10432000,11673000,9777000,4170000,19592000,15093000,82628000,19438000,25999000,,,104791000,150228000,,,,,,,,,,,,390000,126000,,0,516000
11,10,WO,UNIV,Erasmus Universiteit Rotterdam,2014,249600000,30900000,,,36700000,317200000,6600000,22900000,18900000,48400000,,,,1800000,363800000,900000,28800000,29700000,5000000,200000,6600000,7700000,5300000,2700000,400000,1800000,29700000,900000,6300000,,100000,101900000,109200000,,,,,,,,,,,,452800,134800,,169700,757300
12,10,WO,UNIV,Erasmus Universiteit Rotterdam,2015,252100000,29600000,,,30500000,312200000,5700000,25300000,16900000,47900000,,,,1700000,358400000,1100000,28100000,29200000,4200000,200000,5800000,7900000,5400000,2900000,12200000,5500000,44100000,700000,6500000,,700000,98500000,106400000,,,,,,,,,,,,366700,113500,22100,404200,906500
13,10,WO,UNIV,Erasmus Universiteit Rotterdam,2016,260400000,30700000,,,29900000,321000000,1300000,26700000,20600000,48600000,,,,1900000,367700000,1200000,49600000,50800000,4100000,200000,7200000,7000000,3200000,2900000,-1700000,9000000,31900000,900000,5800000,,-200000,115300000,121800000,,,,,,,,,,,,386500,106500,12600,368300,873900
14,10,WO,UNIV,Erasmus Universiteit Rotterdam,2017,275700000,32000000,,,36000000,343700000,4700000,32200000,22700000,59600000,,,,1800000,401500000,1100000,35600000,36700000,2900000,400000,8200000,7000000,3900000,3000000,600000,2400000,28400000,900000,17800000,,800000,120800000,140300000,,,,,,,,,,,,417700,166200,21600,236500,842000
15,10,WO,UNIV,Erasmus Universiteit Rotterdam,2018,294600000,35100000,,,40300000,370000000,5300000,33000000,19700000,58000000,,,,2400000,425600000,1100000,32000000,33100000,2700000,200000,9100000,7500000,3700000,3500000,,2700000,29400000,1100000,22300000,,-4400000,134300000,153300000,,,,,,,,,,,,470800,112900,12700,393900,990300
16,11,WO,TECH,Technische Universiteit Delft,2014,247258000,27219000,,,35004000,309481000,9361000,53182000,12418000,74961000,,,,,384442000,,38677000,38677000,731000,1764000,24513000,11333000,5013000,2187000,5173000,12543000,63257000,4328000,60884000,,-1686000,32069000,95595000,,,,,,,,,,,,287000,730000,40000,64000,1121000
17,11,WO,TECH,Technische Universiteit Delft,2015,262626000,28393000,,,30918000,321937000,5877000,55877000,9424000,71178000,,,,0,393115000,0,39884000,39884000,623000,1711000,27312000,10274000,4610000,2166000,10308000,14796000,71800000,5983000,59813000,0,2299000,33767000,101862000,,0,,,,,,,,,,277000,437000,0,68000,782000
18,11,WO,TECH,Technische Universiteit Delft,2016,278227000,30787000,,,30918000,339932000,8418000,52478000,17549000,78445000,,,,,418377000,0,36287000,36287000,573000,1461000,26373000,6817000,4516000,2581000,6558000,17205000,66084000,6698000,63558000,0,3849000,30258000,104363000,,0,,,,,,,,,,353000,253000,30000,28000,664000
19,11,WO,TECH,Technische Universiteit Delft,2017,292157000,32338000,,,36661000,361156000,5605000,63330000,18442000,87377000,,,,0,448533000,0,39648000,39648000,625000,1441000,26119000,6323000,5613000,2191000,7344000,15827000,65483000,16966000,57654000,0,3306000,15259000,93185000,17109000,0,,,,,,,,,,179000,244000,18000,18000,459000
20,11,WO,TECH,Technische Universiteit Delft,2018,312365000,35152000,,,40987000,388504000,16477000,63304000,16902000,96683000,,,,0,485187000,0,43613000,43613000,1323000,1428000,27708000,5040000,5918000,2706000,19643000,15768000,79534000,3103000,68068000,0,2866000,14613000,88650000,26240000,0,,,,,,,,,,363000,268000,24000,29000,684000
21,12,WO,TECH,Techn. Universiteit Eindhoven,2014,146700000,16800000,,,20900000,184400000,1100000,8600000,9000000,18700000,,,,500000,202600000,,20700000,20700000,3300000,500000,7200000,6200000,2700000,1400000,,,21300000,,31900000,,1800000,36100000,69800000,,,,,,,,,,,,200000,,100000,100000,400000
22,12,WO,TECH,Techn. Universiteit Eindhoven,2015,154600000,17500000,,,17500000,189600000,600000,5700000,8800000,15100000,,,,600000,204100000,,23500000,23500000,2600000,500000,7700000,5300000,2800000,1700000,,,20600000,,17000000,9300000,2800000,38600000,67700000,,,,,,,,,,,,200000,,100000,100000,400000
23,12,WO,TECH,Techn. Universiteit Eindhoven,2016,160500000,18200000,,,17900000,196600000,2900000,7100000,8800000,18800000,,,,700000,214700000,,22900000,22900000,2200000,400000,8800000,4300000,2800000,1400000,,,19900000,,20800000,8800000,3000000,39400000,72000000,,,,,,,,,,,,200000,100000,100000,0,400000
24,12,WO,TECH,Techn. Universiteit Eindhoven,2017,167200000,18800000,,,21100000,207100000,5700000,8400000,6300000,20400000,,,,800000,226700000,400000,23600000,24000000,2500000,500000,8600000,4400000,3000000,1300000,,,20300000,200000,15200000,14900000,-1900000,42200000,70600000,,,,,,,,,,,,200000,,,,200000
25,12,WO,TECH,Techn. Universiteit Eindhoven,2018,173400000,20200000,,,23400000,217000000,-500000,9600000,8900000,18000000,,,,500000,234500000,600000,23600000,24200000,2400000,500000,7900000,4200000,3400000,1800000,,,20200000,200000,14400000,15600000,8800000,44300000,83300000,,,,,,,,,,,,200000,,,,200000
26,13,WO,TECH,Universiteit Twente,2014,140500000,18400000,,,21300000,180200000,1200000,3500000,8100000,12800000,,,,,193000000,,27600000,27600000,1600000,500000,5200000,4900000,3600000,1700000,,5700000,23200000,14700000,9900000,,-2000000,38400000,61000000,,,,,,,,,,,,95000,75000,195000,15000,380000
27,13,WO,TECH,Universiteit Twente,2015,144100000,18200000,,,18300000,180600000,2500000,5600000,9900000,18000000,,,,,198600000,,24300000,24300000,2400000,500000,4900000,4500000,3500000,1800000,,4600000,22200000,15400000,7100000,,1500000,39600000,63600000,,,,,,,,,,,,177000,110000,257000,4000,548000
28,13,WO,TECH,Universiteit Twente,2016,147300000,19200000,,,17900000,184400000,1500000,5900000,9200000,16600000,,,,,201000000,,23500000,23500000,2000000,500000,5400000,4300000,4000000,1700000,,4300000,22200000,15600000,13400000,,-1400000,40500000,68100000,,,,,,,,,,,,87000,97000,386000,92000,662000
29,13,WO,TECH,Universiteit Twente,2017,152600000,19300000,,,20900000,192800000,3100000,6800000,7300000,17200000,,,,,210000000,,22600000,22600000,2000000,400000,5600000,4300000,4200000,1600000,,3700000,21800000,16000000,9200000,,0,39000000,64200000,,,,,,,,,,,,131000,177000,319000,38000,665000
30,13,WO,TECH,Universiteit Twente,2018,159000000,20500000,,,23100000,202600000,2700000,6500000,7200000,16400000,,,,,219000000,,21000000,21000000,2400000,400000,5500000,4800000,3900000,1800000,,4900000,23700000,16900000,9500000,,1400000,41000000,68800000,,,,,,,,,,,,173000,65000,388000,57000,683000
31,14,WO,TECH,W U,2014,140007000,15080000,,,20410000,175497000,2591000,7124000,5826000,15541000,,,,,191038000,83000,22958000,23041000,10406000,342000,4118000,5417000,2610000,1020000,,689000,24602000,26145000,16033000,,1295000,37531000,81004000,,,,,,,,,,,,46000,263000,50000,,359000
32,14,WO,TECH,W U,2015,143424000,15632000,,,18113000,177169000,4169000,6936000,6181000,17286000,,,,,194455000,269000,20145000,20414000,10771000,355000,4762000,3771000,2770000,1513000,,3623000,27565000,26731000,7064000,7293000,2837000,35832000,79757000,,,,,,,,,,,,76000,227000,132000,,435000
33,14,WO,TECH,W U,2016,145174000,16624000,,,17810000,179608000,1412000,8582000,6972000,16966000,,,,,196574000,5377000,21585000,26962000,11017000,385000,4549000,3804000,3033000,1770000,,1849000,26407000,26947000,8325000,7530000,5452000,34354000,82608000,,,,,,,,,,,,103000,207000,150000,,460000
34,14,WO,TECH,W U,2017,148617000,17121000,,,20683000,186421000,3313000,10477000,6329000,20119000,,,,,206540000,544000,23286000,23830000,10555000,227000,3641000,3056000,2800000,1488000,,2143000,23910000,25567000,5842000,7476000,-582000,30225000,68528000,,,,,,,,,,,,115000,132000,165000,,412000
35,14,WO,TECH,W U,2018,156294000,18632000,,,23009000,197935000,934000,10926000,7484000,19344000,,,,,217279000,635000,22246000,22881000,11219000,219000,3294000,2842000,2818000,1409000,,2900000,24701000,25055000,6791000,8078000,-259000,30427000,70092000,,,,,,,,,,,,214000,104000,113000,,431000
36,39,WO,UNIV,Universiteit Leiden,2014,268600000,17700000,,,36600000,322900000,500000,22800000,8400000,31700000,,,,1300000,353300000,,30400000,30400000,11700000,1100000,9700000,6600000,5400000,2000000,,,36500000,11100000,12900000,,600000,80700000,105300000,,,,,,,,,,,,174200000,99100000,7100000,9600000,290000000
37,39,WO,UNIV,Universiteit Leiden,2015,282100000,18900000,,,32900000,333900000,1400000,20400000,12400000,34200000,,,,1300000,366800000,,31200000,31200000,11800000,1000000,9500000,6900000,6500000,3400000,2800000,3300000,45200000,12400000,13700000,,400000,88500000,115000000,,,,,,,,,,,,151300,54800,25800,2700,234600
