"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAREAD","TOT","MEANSCORE","A","2018",503,
"AUT","PISAREAD","TOT","MEANSCORE","A","2018",484,
"BEL","PISAREAD","TOT","MEANSCORE","A","2018",493,
"CAN","PISAREAD","TOT","MEANSCORE","A","2018",520,
"CZE","PISAREAD","TOT","MEANSCORE","A","2018",490,
"DNK","PISAREAD","TOT","MEANSCORE","A","2018",501,
"FIN","PISAREAD","TOT","MEANSCORE","A","2018",520,
"FRA","PISAREAD","TOT","MEANSCORE","A","2018",493,
"DEU","PISAREAD","TOT","MEANSCORE","A","2018",498,
"GRC","PISAREAD","TOT","MEANSCORE","A","2018",457,
"HUN","PISAREAD","TOT","MEANSCORE","A","2018",476,
"ISL","PISAREAD","TOT","MEANSCORE","A","2018",474,
"IRL","PISAREAD","TOT","MEANSCORE","A","2018",518,
"ITA","PISAREAD","TOT","MEANSCORE","A","2018",476,
"JPN","PISAREAD","TOT","MEANSCORE","A","2018",504,
"KOR","PISAREAD","TOT","MEANSCORE","A","2018",514,
"LUX","PISAREAD","TOT","MEANSCORE","A","2018",470,
"MEX","PISAREAD","TOT","MEANSCORE","A","2018",420,
"NLD","PISAREAD","TOT","MEANSCORE","A","2018",485,
"NZL","PISAREAD","TOT","MEANSCORE","A","2018",506,
"NOR","PISAREAD","TOT","MEANSCORE","A","2018",499,
"POL","PISAREAD","TOT","MEANSCORE","A","2018",512,
"PRT","PISAREAD","TOT","MEANSCORE","A","2018",492,
"SVK","PISAREAD","TOT","MEANSCORE","A","2018",458,
"SWE","PISAREAD","TOT","MEANSCORE","A","2018",506,
"CHE","PISAREAD","TOT","MEANSCORE","A","2018",484,
"TUR","PISAREAD","TOT","MEANSCORE","A","2018",466,
"GBR","PISAREAD","TOT","MEANSCORE","A","2018",504,
"USA","PISAREAD","TOT","MEANSCORE","A","2018",505,
"BRA","PISAREAD","TOT","MEANSCORE","A","2018",413,
"CHL","PISAREAD","TOT","MEANSCORE","A","2018",452,
"EST","PISAREAD","TOT","MEANSCORE","A","2018",523,
"IDN","PISAREAD","TOT","MEANSCORE","A","2018",371,
"ISR","PISAREAD","TOT","MEANSCORE","A","2018",470,
"LVA","PISAREAD","TOT","MEANSCORE","A","2018",479,
"RUS","PISAREAD","TOT","MEANSCORE","A","2018",479,
"SVN","PISAREAD","TOT","MEANSCORE","A","2018",495,
"OAVG","PISAREAD","TOT","MEANSCORE","A","2018",487,
"COL","PISAREAD","TOT","MEANSCORE","A","2018",412,
"CRI","PISAREAD","TOT","MEANSCORE","A","2018",426,
"LTU","PISAREAD","TOT","MEANSCORE","A","2018",476,
