"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","2016","2016","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,862.45697,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,865.2686,,
"AUT","Austria","2016","2016","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,779.4,,
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,779.4,,
"BFL","Flemish Comm. (Belgium)","2016","2016","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,748.47222,,
"BFL","Flemish Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,739.02778,,
"BFR","French Comm. (Belgium)","2016","2016","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,716,,
"BFR","French Comm. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,716,,
"CAN","Canada","2016","2016","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,797.7713,,
"CAN","Canada","2017","2017","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,797.7713,,
